sweep_value,run_count,throughput_records_per_sec_mean,throughput_records_per_sec_min,throughput_records_per_sec_max,throughput_mb_per_sec_mean,throughput_mb_per_sec_min,throughput_mb_per_sec_max,avg_latency_ms_mean,avg_latency_ms_min,avg_latency_ms_max,max_latency_ms_mean,max_latency_ms_min,max_latency_ms_max
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod6-complz4-trial3,1,9791.799266,9791.799266,9791.799266,9.56,9.56,9.56,105.7148419,105.7148419,105.7148419,5186,5186.0,5186.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod6-compnone-trial1,1,9781.897024,9781.897024,9781.897024,9.56,9.56,9.56,123.2512326,123.2512326,123.2512326,5241,5241.0,5241.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod6-compnone-trial2,1,9805.836303,9805.836303,9805.836303,9.58,9.58,9.58,110.3651442,110.3651442,110.3651442,5242,5242.0,5242.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod6-compnone-trial3,1,9867.69298,9867.69298,9867.69298,9.620000000000001,9.620000000000001,9.620000000000001,111.13674400000001,111.13674400000001,111.13674400000001,5138,5138.0,5138.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod1-complz4-trial1,1,9942.33446,9942.33446,9942.33446,9.71,9.71,9.71,8.2,8.2,8.2,761,761.0,761.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod1-complz4-trial2,1,9950.248756,9950.248756,9950.248756,9.72,9.72,9.72,8.02,8.02,8.02,620,620.0,620.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod1-complz4-trial3,1,9946.290034,9946.290034,9946.290034,9.71,9.71,9.71,8.46,8.46,8.46,711,711.0,711.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod1-compnone-trial1,1,9966.115208,9966.115208,9966.115208,9.73,9.73,9.73,8.22,8.22,8.22,615,615.0,615.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod1-compnone-trial2,1,9962.143853,9962.143853,9962.143853,9.73,9.73,9.73,12.51,12.51,12.51,546,546.0,546.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod1-compnone-trial3,1,9948.269001,9948.269001,9948.269001,9.72,9.72,9.72,7.35,7.35,7.35,669,669.0,669.0
