broker_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
5,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,1295,118.88185328185328,0.0,2948.127002409291,0.0,0.0,0.0,102536.0
5,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,1296,150.79012345679013,0.0,3635.5375736992455,0.0,0.0,0.0,110904.0
3,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,432,39472.166666666664,38392.0,17026.52084168173,6504.0,28428.0,49892.0,271848.0
3,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,432,42376.7962962963,38760.0,31305.673779257962,6176.0,30238.0,50666.0,462888.0
3,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,432,44928.12962962963,41332.0,43679.49314738926,13264.0,32044.0,53298.0,880792.0
5,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1296,52646.765432098764,51356.0,39988.41409686079,6152.0,38210.0,62166.0,887600.0
5,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1295,44890.613127413126,44400.0,21451.59875603909,6216.0,33812.0,55048.0,403352.0
5,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1296,44328.141975308645,41080.0,64706.35375087156,6208.0,30334.0,52988.0,2127912.0
3,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,432,6809.228395061729,0.0,21013.50031868344,0.0,0.0,8278.666666666666,310042.6666666667
3,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,430,7954.958139534884,0.0,21790.157343679977,0.0,0.0,19172.0,394941.3333333333
3,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,431,6272.798143851509,0.0,17160.69105280687,0.0,0.0,14594.666666666668,271946.6666666667
5,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,1296,6410.379320987654,0.0,22587.74441630736,0.0,0.0,8594.4,310771.2
5,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,1296,8159.4876543209875,0.0,24150.919674377674,0.0,0.0,12584.800000000001,287550.4
5,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,1296,7560.767901234569,0.0,32225.817601327533,0.0,0.0,5449.6,449915.2
3,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,432,7285627.641975308,1887172.0,8882286.182663403,41608.0,269690.0,19805849.333333332,20463229.333333332
