min_insync_replicas,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
4,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,432,5430.017662037037,4969.5650000000005,4011.5077347048223,533.2400000000001,807.655,9720.630000000005,15122.85
4,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,432,9824.051180555554,9310.005000000001,7280.696748272979,918.6600000000004,1366.0,18254.575000000004,23182.799999999996
3,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1296,75.58575171674151,84.16335858585859,23.981076937873556,4.120404290873807,66.07641996921893,94.3564159629896,97.394043715847
3,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1295,76.30936789726152,82.00610619469028,21.20635667015921,1.892249735769289,68.62280303030303,94.34275426360293,97.02861111111112
3,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1296,76.90667681809046,85.67778846153846,22.883851359186732,1.408793975693435,68.57386160714286,94.46009555785123,97.2155
4,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,432,76.28388249745548,85.28800520347934,22.920288686162827,14.505583333333334,66.15177255880795,94.32388737878344,96.944554973822
4,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,432,78.92025221416696,84.08502217294901,17.66643479622257,32.33972972972973,72.76726851851853,94.09976466438218,96.81370786516854
4,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,432,78.89569005751326,88.29081781831813,21.01765481320163,21.76491228070175,72.99217307692308,94.55307857142856,96.8503
3,mtls,broker_cpu_percent_mean,Broker CPU mean %,1296,20.973199140658867,17.628161214382438,13.304563078324762,3.2207672442534174,9.579328080927384,30.399439430686467,57.73754538745008
3,plaintext,broker_cpu_percent_mean,Broker CPU mean %,1294,26.927060049721064,26.08725582187968,9.282826274303616,8.56043141109655,19.849202031474462,32.284824650738344,56.61478827598951
3,tls,broker_cpu_percent_mean,Broker CPU mean %,1295,23.622258200464525,20.90844050152311,13.347645281879387,3.2852559333624813,12.817505288291972,33.5830176821209,59.82172628523237
4,mtls,broker_cpu_percent_mean,Broker CPU mean %,432,26.46514282389132,23.771278857386637,15.166759093047103,5.782257098057696,13.882334579805207,38.42082996869139,58.35175110594206
4,plaintext,broker_cpu_percent_mean,Broker CPU mean %,432,34.033425215195656,34.446635923739294,9.154079511554365,18.515715189866302,24.815076858990576,40.01454355947778,53.4695844873165
4,tls,broker_cpu_percent_mean,Broker CPU mean %,432,28.95898407245172,26.043253268611384,14.531210775296547,10.214836654962186,16.116975959148967,40.55761541982253,59.326392290124886
3,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,1296,48.26130504115226,44.535,20.897466161574837,10.088,29.204499999999996,66.777,97.168
3,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,1294,51.267186501803195,48.433,15.347644724891406,18.358,39.1505,62.552,92.946
3,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,1295,50.75234877734877,47.944,19.99147128880989,11.28,33.00666666666667,67.772,97.842
4,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,432,56.93387962962964,58.64099999999999,21.872325065326017,17.45,35.546,76.0645,96.594
4,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,432,60.278231481481484,56.870000000000005,15.197471998052885,27.77,48.370000000000005,71.155,95.458
4,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,432,57.461407407407414,60.510000000000005,20.790171276456324,19.78,36.798,76.153,94.992
3,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1296,18.911105372561323,16.522343358395986,9.790151626238028,7.583043478260869,10.751900000000001,24.258552293577978,49.515300546448096
3,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1295,17.84507653879816,15.554285714285712,7.453425486597743,8.925108401084012,11.336967032967031,22.5189196337163,39.27390804597701
3,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1296,19.86629535374426,16.91999276718856,9.763737968224637,8.407913931186195,11.592162337662337,25.257898800157356,50.044405940594054
4,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,432,19.351471637090935,16.08207334891876,9.819260485194254,8.482608695652173,11.198897727272728,24.88235197368421,49.64408602150537
4,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,432,17.90158496096462,15.982844551282051,7.468021558482852,9.693333333333335,11.433732854864434,22.689389983579638,39.01141242937853
4,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,432,19.893215461846793,16.725816507000737,9.739877832629453,9.439583333333331,11.484122170951437,25.23281638288081,49.75276381909547
3,mtls,broker_memory_used_percent_mean,Broker memory %,1296,23.0372426498801,23.18739451862213,1.0507759806432366,12.408526294990724,22.89739157509158,23.51345489135674,24.641899078341016
3,plaintext,broker_memory_used_percent_mean,Broker memory %,1294,23.28155175882134,23.236206116032086,0.7667832487130357,12.832862211760968,23.04616306787996,23.539547144359716,24.699011219837537
3,tls,broker_memory_used_percent_mean,Broker memory %,1295,23.087034473280312,23.4261272587648,1.192208370863153,12.689896058735837,23.097317991629943,23.698709409766394,25.11084886931466
4,mtls,broker_memory_used_percent_mean,Broker memory %,432,23.751866979927303,23.75842394362162,0.20732310329064163,23.393683531746035,23.627643854155266,23.832816609122393,24.93820518145855
4,plaintext,broker_memory_used_percent_mean,Broker memory %,432,23.79488547408384,23.845961657830095,0.19305609766058363,23.45877506045445,23.589343990679296,23.93415091682223,24.83018833071431
4,tls,broker_memory_used_percent_mean,Broker memory %,432,23.98399706988909,23.91417060239084,0.1923565641764729,23.70154073123259,23.85587984135964,24.053088152744028,24.61790911790912
3,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1296,22240206.215277776,23452772.0,15221503.055268236,645808.0,5014921.5,38095217.75,85183486.0
3,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1295,17971565.34131274,19856947.0,12329000.369859565,325067.0,3364047.5,30371349.0,37888000.0
3,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1296,21907684.131944444,23443179.5,15041264.555545429,589965.0,5004885.5,37704171.5,59602216.0
