producer_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,530.8651041666661,527.9499999999999,492.75081677942956,80.99999999999872,141.0499999999987,693.8874999999999,5120.199999999999
1,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,743.5539930555544,748.8499999999991,501.68557142850204,111.099999999998,207.17499999999745,1206.2625,2194.4
6,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,7578.291232638882,7820.5,1796.7933465062233,3810.6999999999753,6567.962499999996,9057.8375,10798.799999999996
6,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,2864.776302083332,1810.499999999995,1852.258424079361,239.5,1218.8125,4787.1125,7118.45
6,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,7332.4486111111055,7614.449999999999,1798.3844883049564,3330.199999999972,6537.199999999999,8726.325,12661.19999999999
12,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,16722.600086805553,16660.35,2298.3928513045694,11939.799999999996,15041.549999999996,18538.725,31667.5
12,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,6593.213802083313,7107.399999999963,3484.3646215572353,1177.5999999999997,2633.2374999999984,9569.0375,14061.25
12,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,16200.720225694444,16058.874999999998,2068.2584060414783,11465.699999999992,14749.174999999988,17774.55,22227.049999999996
1,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,1265.602447916667,1260.37,215.178148047052,851.6400000000003,1119.7900000000004,1389.3025,2306.0
1,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,757.1313541666667,632.98,470.2962520573684,428.4400000000001,566.9950000000001,734.255,5844.839999999999
1,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,1175.4205208333335,1154.7600000000002,213.53729702213695,762.9000000000002,1021.3500000000004,1308.3625,2194.88
6,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,9200.927395833334,9197.825,687.9610696954312,7291.01,8782.855,9603.254999999997,12364.239999999998
