replication_factor,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
5,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,8303.325925925925,0.0,27363.92124448748,0.0,0.0,9030.4,287550.4
5,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,8038.72962962963,0.0,38262.38238476547,0.0,0.0,4544.4,449915.2
3,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,5772327.737654321,1277236.0,7453345.425572888,15073.6,215174.8,11706877.200000001,20463229.333333332
3,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,862,5748298.8331013145,1249259.7333333334,7422789.852114945,16656.0,228420.6666666667,11494413.200000001,20373170.666666668
3,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,863,5740791.697180378,1294250.6666666667,7420257.652542849,17988.8,230076.8,11516154.399999999,20574584.0
5,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,7155132.994444446,1823462.4,8788174.435020994,53152.0,259368.4,19299271.2,41124512.0
5,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,7092892.45,1825369.6,8706114.566848526,52995.2,265812.0,19249834.8,20611715.2
5,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,7103182.575925925,1818543.2,8684836.16829993,39683.2,263125.19999999995,19250355.6,20119699.2
3,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,864,24053.712962962964,0.0,59103.58383969104,0.0,0.0,49846.0,930128.0
3,plaintext,broker_disk_read_sectors_delta_total,Broker disk read sectors total,862,31629.939675174013,0.0,73146.24996372037,0.0,0.0,64136.0,1184824.0
3,tls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,863,25904.203939745075,0.0,60842.8334875606,0.0,0.0,44176.0,963992.0
5,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,864,34237.97453703704,8.0,132760.54550612922,0.0,0.0,32292.0,1553856.0
5,plaintext,broker_disk_read_sectors_delta_total,Broker disk read sectors total,864,41516.62962962963,0.0,136819.60622243737,0.0,0.0,45152.0,1437752.0
