throughput_limit_records_per_sec,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1000,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,863,52.00255465430668,49.946000000000005,13.109103347318992,24.38,41.236333333333334,60.51833333333333,88.70599999999999
1000,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,863,49.81877211278486,43.644,18.957535457373318,18.44333333333333,33.502,65.208,95.032
10000,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,53.3607299382716,53.0,22.490575489682513,10.088,31.725499999999997,73.056,97.168
10000,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,863,55.042561606797996,54.42999999999999,17.966855989969968,18.358,40.69,67.19,95.458
10000,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,55.039374228395054,56.676,21.434220932432407,11.28,34.8245,73.4835,97.842
1000,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,20.241275137922813,19.417664036544856,9.815288586946629,7.909454545454546,11.054710278460286,26.029260633861547,49.43087431693994
1000,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,863,19.296021883035078,18.6917094017094,7.457399553218342,9.407138537138536,11.366105919003115,24.044108527131783,39.27390804597701
1000,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,21.054112805935887,20.205481693363843,9.717518760597057,8.407913931186195,11.477274774774775,27.388878253325622,49.75276381909547
10000,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,17.80111873946465,14.252910526315787,9.62991125521068,7.583043478260869,10.74611801242236,22.107744654605263,49.64408602150537
10000,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,16.424064740533638,13.668906432748539,7.175149964588693,8.925108401084012,11.368491508491507,20.13242806905371,39.01141242937853
10000,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,18.691937955603894,15.520918048546022,9.654462421634708,9.18925925925926,11.639205946035975,22.35486308116627,50.044405940594054
