record_size_bytes,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1024,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,14.0,0.0,25.882812830138842,0.0,0.0,10.8,81.6
1024,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,92.53333333333335,1.6,184.81539137444392,0.0,0.0,31.599999999999998,544.0
1024,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,376.2666666666667,105.6,754.5482592621598,0.0,0.0,286.0,2790.4
102400,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,70232.53333333333,18591.2,120301.36469930653,14588.8,16600.4,43609.600000000006,450251.2
102400,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,93926.93333333333,25008.800000000003,187218.36159332475,17649.6,23615.600000000002,38093.6,704526.4
102400,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,158620.66666666666,23988.8,338801.9448208381,21387.2,22926.4,27278.4,1213780.8
1024,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,177227.46666666667,171852.8,17075.853746022647,160848.0,167984.0,176654.4,224731.2
1024,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,165050.66666666666,164847.2,2096.5961832349954,162155.2,163074.4,166648.8,168208.0
1024,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,164933.06666666668,164367.2,2132.059169493708,162507.2,162953.6,166023.2,168988.8
102400,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,12071825.333333334,12089032.8,86569.5692968892,11898235.2,12084454.0,12090634.0,12248601.6
102400,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,12069771.066666668,12081714.4,43193.194700811764,11926665.6,12081205.600000001,12083794.4,12086236.8
102400,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,13080520.66666667,12078208.0,3337376.013017969,11872080.0,12076664.8,12080378.4,24146040.0
