acks,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3873532063.778935,1071152096.5,4668811563.98902,104917748.0,140088770.25,10396022788.25,20803907662.0
1,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3838759470.795139,1055568477.0,4621097083.966105,104343590.0,124416812.25,10349482792.75,10357622652.0
1,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3861323799.90625,1070053739.0,4638714386.413955,104771362.0,139136067.5,10396488607.25,10408705872.0
all,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3865747459.304398,1071643251.0,4644470749.140774,104877612.0,139055058.25,10401981842.25,10446080526.0
all,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,863,3845685960.063731,1055702536.0,4626668913.274628,104349599.0,124265559.5,10355490623.0,10388416306.0
all,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3865753112.578704,1069907237.5,4645259762.753564,104768322.0,138080909.0,10404323348.5,10440344176.0
1,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3462322904.9184413,1054161186.5,4300006052.848657,63106495.6,135079539.64999998,6852231806.483334,20865416273.0
1,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3421156571.1917443,1044461919.0666666,4234469325.2679014,62733179.6,126068470.25,6594521709.4,10356977201.8
1,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,863,3458436838.184164,1045630270.8,4274677213.559531,63015116.4,139166386.7,7414462652.3,10424855738.0
all,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3480708535.6891975,1053900244.8666667,4308846220.581144,63100372.8,133927192.65,7284281058.566667,10470749076.0
all,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,862,3462414480.608894,1039095534.2,4286910051.2494154,62721307.8,116389831.46666667,9304007873.25,10359020931.4
all,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3480416177.7076,1053328266.5,4308885251.272756,63027876.6,130990635.14999999,7285925683.266666,10419640017.0
