record_size_bytes,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
10240,mtls,broker_cpu_percent_mean,Broker CPU mean %,576,19.79195516985019,18.389803048679216,8.236681541887487,6.849606646749568,13.623833956889541,25.279404776786144,44.3017842413049
10240,plaintext,broker_cpu_percent_mean,Broker CPU mean %,574,27.9308690929752,26.654427756287532,9.191466949533602,8.56043141109655,21.384015720287998,35.05780469599202,52.74996789363519
10240,tls,broker_cpu_percent_mean,Broker CPU mean %,575,21.98954441052189,21.08859672826427,7.727801926624658,8.262233873483874,16.775106447871785,26.17769643695843,46.75028909376787
102400,mtls,broker_cpu_percent_mean,Broker CPU mean %,576,37.57275864483988,37.13902113528262,10.04554297956751,5.325814927995418,30.27470989247962,44.62986379596459,58.35175110594206
102400,plaintext,broker_cpu_percent_mean,Broker CPU mean %,576,36.32824822301089,36.074045180913956,8.324469647410414,22.121279671526732,28.913221753210074,41.85374762594786,56.61478827598951
102400,tls,broker_cpu_percent_mean,Broker CPU mean %,576,40.40477194344071,39.36719818286207,9.49588237652714,8.521377891372559,33.8472250083833,45.80752672746589,59.82172628523237
1024,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,30.183878472222222,28.664,8.767698663110732,10.088,24.820500000000003,33.7795,68.40333333333332
1024,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,576,40.99047569444444,40.935,8.484329795663601,18.358,36.466499999999996,46.63,66.74333333333334
1024,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,32.548998842592596,31.852000000000004,7.835546382226535,11.28,28.064,36.778,72.94200000000001
10240,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,51.22081365740741,49.25066666666667,17.298868659909736,18.206,35.800000000000004,64.9435,95.468
10240,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,574,54.13441927990709,50.70666666666666,15.946050599699975,24.38,41.085,66.072,95.458
10240,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,575,53.025506086956526,52.938,15.92006727275349,22.176666666666662,39.257000000000005,64.786,93.904
102400,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,69.8836539351852,72.32633333333334,14.784854114901234,35.334,59.844166666666666,81.1265,97.168
102400,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,576,65.4449039351852,63.331,11.095188906615679,43.318,57.23583333333333,73.126,91.97
102400,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,71.71828182870371,73.88300000000001,12.883161854073926,40.538,62.695166666666665,80.959,97.842
1024,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,13.999859861809876,13.881131578947368,4.895480698550158,7.583043478260869,9.830528846153847,16.867352850539294,27.46948275862068
1024,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,14.632109643788258,13.169523988005997,4.766235179725299,8.925108401084012,10.598380733944953,17.883977166821992,26.172241379310343
1024,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,14.976722668229021,14.342203751065643,4.843059554866165,8.407913931186195,10.157745535714286,17.28933676307008,28.04841666666665
10240,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,18.077435578928018,18.165421310471523,7.664293857598915,8.1116,10.749460869565219,22.697338709677418,38.663170731707325
10240,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,575,17.39412017864904,15.601698113207547,6.831099538965018,9.14377170466556,11.125232558139535,21.208457484688793,37.07669421487603
10240,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,18.728300166154174,18.989550923168554,7.46037969911279,8.918236029540036,11.07701105087573,23.20065060723342,38.37471544715447
