compression_type,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
lz4,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,9136.508099537037,8903.865,7459.476783304028,39.26000000000001,411.70675,17467.60999999999,32155.5
lz4,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,4158.603427083332,2373.1900000000014,4289.342192551526,4.082,108.66050000000001,9346.3675,13080.549
lz4,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8739.643554398148,8612.45,7078.542245879459,36.75400000000001,453.2272499999999,16272.7225,21524.352000000003
none,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8757.832572916666,8674.825,7276.703501796945,40.86200000000001,386.22375,16932.505,26126.86
none,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,3912.3427337962958,1131.259999999998,4224.4843222446225,5.568,92.38900000000004,9066.65,13154.794999999998
none,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8534.078282407407,8357.740000000002,6949.425352568265,30.35800000000001,391.38550000000004,15977.512500000004,20726.778
lz4,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8263.437673611108,7541.749999999998,6710.970491266833,132.8999999999977,1314.7124999999999,14636.624999999998,31667.5
lz4,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,3282.9014467592524,1525.3999999999996,3471.2608254368556,81.59999999999873,686.3375,5300.4375,13362.65
lz4,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8042.278819444442,7578.4,6541.742900205788,117.99999999999798,1192.7625,14545.6375,22227.049999999996
none,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8465.359143518515,7981.649999999999,6783.495408074155,127.59999999999778,1297.4999999999995,15333.8875,22858.15
none,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,3376.3353587962883,2168.999999999998,3309.943563380354,80.99999999999872,685.75,5263.9,14061.25
none,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8142.203067129627,7641.174999999999,6526.479381117959,111.099999999998,1220.0749999999998,14854.450000000004,21886.3
lz4,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9805.211666666666,9199.42,7287.02735997661,873.3200000000003,1397.8,18117.309999999998,32155.5
lz4,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,5159.63869212963,4847.28,3807.188225162441,428.4400000000001,745.77,9367.675,13912.740000000002
lz4,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9331.325324074074,8826.77,6954.959761204532,802.0000000000002,1311.1674999999993,16732.875,23625.090000000004
none,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9782.176018518516,9185.760000000002,7268.983925257232,851.6400000000003,1368.4225000000001,18093.859999999997,26398.6
none,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,5058.535520833333,4742.824999999998,3742.9363559310214,439.3600000000001,715.5600000000001,9157.595000000001,15122.85
none,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9210.24837962963,8736.135000000002,6877.988605666311,762.9000000000002,1307.7275,16377.880000000001,23335.4
lz4,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,76.66408909320664,85.30721008242284,23.3587730869699,6.7025289239275105,69.0303685064935,94.70401044420942,97.394043715847
lz4,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,77.89036827362527,83.4565588235294,20.087639086516013,16.776,72.27913995726496,94.37926334594366,97.02861111111112
lz4,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,78.29806857278207,87.03224801061008,21.99880981063783,15.009279279279289,71.55887752525253,94.67273954703833,97.2155
none,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,74.85647973063337,84.03438735177866,24.046302364741553,4.120404290873807,62.996006493506506,94.13040937384444,97.05484848484848
none,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,863,76.0334903766646,81.61309734513274,20.685988133595558,1.892249735769289,65.96953487365872,94.0250763129832,96.53906779661015
none,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,76.50979168311024,85.67778846153846,22.854186736586573,1.408793975693435,67.05588027597402,94.19070194350707,96.91445161290322
lz4,mtls,broker_cpu_percent_mean,Broker CPU mean %,864,22.023644092664934,18.497595648287103,13.810770153178785,3.228895730706075,9.961261766781034,31.7613992775578,58.35175110594206
lz4,plaintext,broker_cpu_percent_mean,Broker CPU mean %,863,28.350960048808275,26.66884561653117,9.558815890107224,8.895138334687491,20.68313693073756,35.39993848641653,54.81824290545984
lz4,tls,broker_cpu_percent_mean,Broker CPU mean %,864,24.52639869649397,21.495485037686986,13.554475666021396,3.2852559333624813,13.29300778066224,34.8603286598381,59.82172628523237
none,mtls,broker_cpu_percent_mean,Broker CPU mean %,864,22.668726030269024,18.929109547991246,14.173831281849147,3.2207672442534174,10.373297285091244,33.220301566530736,57.77664313795333
none,plaintext,broker_cpu_percent_mean,Broker CPU mean %,863,29.060459878542343,28.16801474946744,9.92386670489141,8.56043141109655,20.941168881983362,36.40798248304944,56.61478827598951
none,tls,broker_cpu_percent_mean,Broker CPU mean %,863,25.38852493062563,21.58917744217073,14.121793845529842,3.30259065009065,13.445501958682705,36.63442987496481,59.326392290124886
lz4,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,49.39245833333334,46.257,20.636703528780618,10.52,30.599,67.1685,94.812
lz4,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,863,52.82418076477404,51.064,15.425609900341154,18.912,40.653666666666666,63.82533333333333,93.808
lz4,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,51.34226890432098,48.793,19.52863972940526,12.703333333333331,33.6235,67.262,96.162
none,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,51.466439043209874,47.37466666666667,22.235923425009798,10.088,30.942,72.377,97.168
none,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,863,54.220935496330625,52.568,16.135439974882665,18.358,41.19833333333333,65.07333333333332,95.458
none,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,863,53.52016145229818,50.066,21.184874564997788,11.28,34.21,73.69800000000001,97.842
lz4,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,20.62283504506015,17.276638586956523,11.031686249208997,7.736818181818182,11.03684406316429,28.017622950819675,49.64408602150537
lz4,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,19.199423847945244,17.96654345474216,8.411340731141305,9.386833333333334,11.455430232558138,25.377855022464693,39.27390804597701
lz4,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,21.397529403914042,17.77642503987242,10.912145210781777,9.475,11.654560757907927,28.85872010567297,50.044405940594054
none,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,17.419558832327304,15.495227272727274,8.076117365679458,7.583043478260869,10.719477272727273,21.59552966101695,41.810437500000006
none,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,863,16.517446832277678,15.131363636363636,6.070459589900336,8.925108401084012,11.306590670859539,20.974831573655102,35.86292517006803
none,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,18.34852135762574,16.37912399355878,8.167350389858997,8.407913931186195,11.382644074675323,22.10159396497811,43.02050314465409
lz4,mtls,broker_memory_used_percent_mean,Broker memory %,864,23.236028982753904,23.43654584159902,0.8655083370871471,14.015816053317804,23.053835566721215,23.68356856610163,24.93820518145855
lz4,plaintext,broker_memory_used_percent_mean,Broker memory %,863,23.417591510336894,23.43756716332802,0.6224247998205005,16.97450348202522,23.093689924455877,23.902330710752008,24.699011219837537
lz4,tls,broker_memory_used_percent_mean,Broker memory %,864,23.32665483695527,23.623520474533407,1.013848998242152,15.6888900275008,23.203516385818677,23.85864253653177,25.11084886931466
none,mtls,broker_memory_used_percent_mean,Broker memory %,864,23.195768482029894,23.423875193232803,1.0579600730690701,12.408526294990724,23.048547511322656,23.66619880679238,24.67759208625052
none,plaintext,broker_memory_used_percent_mean,Broker memory %,863,23.402476277286546,23.434888840374185,0.7820596778701829,12.832862211760968,23.10413436404386,23.910302218796232,24.83018833071431
none,tls,broker_memory_used_percent_mean,Broker memory %,863,23.29613742521522,23.633943059628542,1.1932453176665891,12.689896058735837,23.21169451569276,23.8642177754654,24.820706211697477
lz4,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,22405269.1875,23915542.5,15367802.279570524,653906.0,5054196.0,38347184.0,85183486.0
lz4,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,18081545.63310185,19616540.0,12475485.961035427,345151.0,3407283.25,30800989.75,37888000.0
lz4,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,21974407.474537037,22926503.0,15187682.317856798,589965.0,4970195.75,38073639.25,42718538.0
none,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,22302196.246527776,24438843.5,15082255.790034693,645808.0,5080486.25,37782382.5,47157457.0
none,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,863,17994101.468134414,20294562.0,12302250.931004763,325067.0,3246459.5,30277741.5,34729906.0
none,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,22002492.134259257,23736680.0,15024923.51463414,613739.0,5000365.75,37431175.25,59602216.0
lz4,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3875746994.068287,1071702330.5,4671696112.896517,104877612.0,139092569.75,10397771397.75,20803907662.0
lz4,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3840849334.7858796,1055750821.5,4622716666.929392,104343590.0,124289113.25,10351364074.0,10377673927.0
lz4,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3863501027.1053243,1070550253.5,4641888927.085652,104768322.0,138288273.25,10398306557.25,10430845184.0
none,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3863532529.015046,1071305922.5,4641564509.070684,104938377.0,139994414.0,10396072535.0,10446080526.0
none,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,863,3843593674.4461184,1055484168.0,4625051026.330841,104433393.0,124379156.5,10350063201.0,10388416306.0
none,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3863575885.3796296,1069818895.5,4642088583.534808,104813315.0,139058551.0,10396801217.75,10440344176.0
lz4,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3493075043.4249225,1053900244.8666667,4343432220.704556,63100372.8,133980451.15,7285166435.566667,20865416273.0
lz4,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,863,3456956716.668212,1038857936.4,4281307503.4567833,62721307.8,121215980.5,8030974619.766666,10356977201.8
lz4,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3480584041.749499,1053328360.3,4309271911.236963,63015116.4,133123713.60000001,7286605784.183333,10424855738.0
none,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3449956397.182716,1054046310.9,4264978752.3714013,63137621.6,134328009.55,6852452562.683333,10470749076.0
none,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,863,3426566527.5896487,1039333132.0,4240118610.6909494,62766352.6,121576701.56666666,6982106664.5,10359020931.4
none,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,863,3458268779.6300497,1045556986.6,4274286101.6086435,63045446.0,137612820.2,7415314750.6,10417697433.6
lz4,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2604900661.8002315,791874828.2,3293804836.2456136,42488890.4,102540251.15,4886905616.966667,16778933534.6
lz4,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,863,2572810119.722595,831102149.6,3237694705.470687,42081991.0,94653536.56666666,5294564225.066667,8314912632.0
lz4,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2594648925.8296685,791833002.7666667,3263830022.8150706,42380876.4,104153660.3,4886319040.2,8372580494.8
none,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2564016720.660725,791170874.4333334,3221008196.1775975,42506135.2,104866750.85,4453510113.466667,8428300047.0
none,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,863,2542595845.1922364,830804367.8,3199259687.77082,42099257.2,95249268.66666666,4242365654.533334,8316650711.2
none,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,863,2571528490.4601007,836531347.0,3229915754.189981,42412932.6,109748125.33333334,4670943334.0,8370556183.6
lz4,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15532934442.03125,4245093463.0,19733669169.701633,314611641.0,562367816.25,31230951998.25,104327081365.0
lz4,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,863,15371152692.20394,5177433103.0,19423525553.04737,313046022.0,545336216.5,31038217215.0,51784886009.0
lz4,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15458276593.538195,4244653672.0,19532796441.437336,314480664.0,561992850.25,31228943087.25,52098200085.0
none,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15341211697.900463,4241636674.5,19354981100.584965,314820597.0,560884008.5,31222481729.5,52353745380.0
none,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,863,15243938388.623407,3227428119.0,19266065453.44648,313286435.0,549440574.5,31035010740.0,51795104657.0
none,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,863,15381803785.495945,5204651532.0,19403211158.199776,314677938.0,567318491.5,31221609748.5,52088487168.0
lz4,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11726448946.29514,3216779996.0,15416533455.886303,211416566.0,460306463.75,20953403650.0,83894667673.0
lz4,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,863,11582850330.527231,4155510748.0,15141848532.531572,209739340.0,444452144.5,20783333798.0,41574563160.0
lz4,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11667202672.13426,3216076854.0,15249549981.836943,211299260.0,459437267.75,20950931948.25,41862902474.0
none,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11545999206.59838,3214047623.0,15069511265.145998,211502189.0,459340236.0,20944868218.5,42141500235.0
none,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,863,11456599423.611818,2212904400.0,14987472811.080889,209856706.0,449594423.5,20779629791.5,41583253556.0
none,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,863,11582666118.495945,4182656735.0,15116075101.939842,211406560.0,466060692.5,20941978683.5,41852780918.0
lz4,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,290.94444444444446,0.0,8384.41664287731,0.0,0.0,0.0,246584.0
lz4,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,174.9814814814815,0.0,3607.174722845921,0.0,0.0,0.0,102536.0
lz4,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,32.9537037037037,0.0,455.74803963860415,0.0,0.0,0.0,11552.0
