batch_size,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
131072,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3869940615.548611,1042767566.0,4676022923.421955,104877612.0,139040435.0,10397212775.75,20803907662.0
131072,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,863,3840478918.196987,1037482179.0,4627570276.317349,104343590.0,124006297.0,10351508186.0,10388416306.0
131072,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3857742956.497685,1042774157.5,4646283007.750421,104768322.0,137906007.75,10397610940.75,10440344176.0
16384,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3471172485.976003,1083754692.8000002,4284483598.5962505,64701286.4,135139437.9,6852977268.983334,10470749076.0
16384,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,862,3447936858.120031,1066913957.5,4259325690.33794,63924712.2,116628559.58333333,7366030723.7,10356977201.8
16384,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,863,3476434029.3507915,1083551165.0,4289562034.5891666,64618382.4,125441363.4,7524338694.033333,10422645644.666666
131072,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3471858954.6316357,1041551408.7,4324300738.917337,63100372.8,133919791.15,6861452158.75,20865416273.0
131072,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3435600680.6655865,1035782379.5,4262241351.2733946,62721307.8,126025014.5,6659483238.0,10359020931.4
131072,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3462439816.6233406,1041490228.0,4294101306.0608907,63015116.4,139073591.35000002,6832817161.1,10424855738.0
16384,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2585228456.9016204,805903200.3,3240217474.3759837,43991591.4,104363867.65,4453965351.316667,8428300047.0
16384,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,862,2563443749.17208,855155554.9000001,3216835073.115328,43373017.0,93358895.85,4284879432.7000003,8314912632.0
16384,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,863,2589727948.3388953,867686506.4,3244680562.268678,43904892.2,100759736.6,4781394056.266666,8372580494.8
131072,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2583688925.559336,782866231.9333334,3275037309.8805985,42488890.4,102483467.05,4462631282.633333,16778933534.6
131072,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2551975504.5545917,778422318.9,3220289830.108946,42081991.0,96178202.1,4262575533.1499996,8316650711.2
131072,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2576470532.1382327,783500381.3333333,3249196852.0532117,42380876.4,108614335.08333331,4432430921.45,8371471508.0
16384,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15432916168.640047,4318352242.5,19436818560.40349,320510831.0,562711732.5,31225705510.0,52353745380.0
16384,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,862,15339312361.75638,5290011257.0,19336735887.60807,317241742.0,547615533.0,31036593011.5,51784886009.0
16384,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,863,15458593012.512167,5365601143.0,19461131975.101425,320357452.0,556186255.0,31224430310.5,52093240398.0
131072,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15441229971.291666,4215724484.0,19653534562.486206,314611641.0,557959786.0,31227527939.5,104327081365.0
131072,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15275852253.37963,3196532431.0,19353309879.269646,313046022.0,548062493.75,31037306818.0,51795104657.0
131072,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15381576242.94213,4212937264.5,19475154581.802837,314480664.0,567335105.25,31224421708.0,52098200085.0
16384,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11637809991.697916,3286921856.5,15152524130.080536,216785156.0,460803707.75,20951871215.5,42141500235.0
16384,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,862,11549192676.404873,4275777774.5,15056201388.464376,214019992.0,447699240.75,20780566017.75,41574563160.0
16384,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,863,11659827660.483198,4338432532.0,15174918180.10469,216638749.0,452638314.5,20947968324.5,41862902474.0
131072,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11634638161.195602,3189335318.5,15335480497.140442,211416566.0,456022722.0,20949120977.5,83894667673.0
131072,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11490325290.23264,2177545814.0,15073697095.646755,209739340.0,446039810.75,20780080528.75,41583253556.0
131072,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11590130437.487268,3187032491.0,15191101541.500687,211299260.0,466079458.75,20945754264.25,41857357540.0
16384,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,5.425925925925926,0.0,86.75147599381593,0.0,0.0,0.0,2120.0
16384,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,43.675925925925924,0.0,801.0277001811335,0.0,0.0,0.0,22040.0
16384,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,32.22222222222222,0.0,453.52229177384703,0.0,0.0,0.0,11552.0
131072,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,288.14814814814815,0.0,8384.170533428318,0.0,0.0,0.0,246584.0
131072,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,863,168.77056778679028,0.0,3618.9859056923065,0.0,0.0,0.0,102536.0
131072,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,219.88888888888889,0.0,4450.007738930711,0.0,0.0,0.0,110904.0
16384,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,49106.62962962963,47760.0,29695.388229859615,6168.0,35532.0,59096.0,567712.0
16384,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,44393.805555555555,44012.0,23148.912962222694,6296.0,32472.0,53464.0,433280.0
16384,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,44187.00925925926,41932.0,39026.71179319113,6744.0,31318.0,53556.0,880792.0
131072,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,49599.601851851854,47272.0,41553.72757969378,6152.0,34822.0,58992.0,887600.0
131072,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,863,44129.6315179606,42536.0,25435.36225405802,6176.0,32540.0,53672.0,462888.0
131072,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,44769.26851851852,40712.0,75572.4727168498,6208.0,30264.0,52516.0,2127912.0
16384,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,7080.531944444444,0.0,25244.56079612777,0.0,0.0,8244.0,310771.2
